target_time_msec;sample_time_msec;sample_duration_usec;N_CUR_ADC[digits];N_CUR_ADC[mA];N_CUR_FILT[mA];N_CUR_HIGH[mA]
14555;14555;2;2075;-110;-55;140
14560;14560;2;2075;-110;-55;140
14565;14565;2;2075;-110;-55;140
14570;14570;1;2075;-110;-55;140
14575;14575;1;2075;-110;-56;140
14580;14580;1;2075;-110;-56;140
14585;14585;1;2075;-110;-56;140
14590;14590;2;2075;-110;-56;140
14595;14595;2;2076;-85;-56;140
14600;14600;2;2076;-85;-56;140
14605;14605;1;2076;-85;-56;140
14610;14610;1;2076;-85;-56;140
14615;14615;1;2074;-135;-55;140
14620;14620;1;2074;-135;-55;140
14625;14625;1;2074;-135;-55;140
14630;14630;2;2074;-135;-55;140
14635;14635;1;2074;-135;-54;140
14640;14640;2;2074;-135;-54;140
14645;14645;2;2074;-135;-54;140
14650;14650;1;2074;-135;-54;140
14655;14655;1;2073;-160;-58;140
14660;14660;1;2073;-160;-58;140
14665;14665;1;2073;-160;-58;140
14670;14670;1;2073;-160;-58;140
14675;14675;1;2076;-85;-60;140
14680;14680;1;2076;-85;-60;140
14685;14685;2;2076;-85;-60;140
14690;14690;1;2076;-85;-60;140
14695;14695;1;2080;15;-59;140
14700;14700;1;2080;15;-59;140
14705;14705;1;2080;15;-59;140
14710;14710;1;2080;15;-59;140
14715;14715;2;2077;-60;-58;140
14720;14720;2;2077;-60;-58;140
14725;14725;1;2077;-60;-58;140
14730;14730;1;2077;-60;-58;140
14735;14735;1;2075;-110;-61;140
14740;14740;1;2075;-110;-61;140
14745;14745;2;2075;-110;-61;140
14750;14750;1;2075;-110;-61;140
14755;14755;2;2072;-185;-62;140
14760;14760;1;2072;-185;-62;140
14765;14765;1;2072;-185;-62;140
14770;14770;1;2072;-185;-62;140
14775;14775;1;2072;-185;-62;140
14780;14780;1;2072;-185;-62;140
14785;14785;1;2072;-185;-62;140
14790;14790;1;2072;-185;-62;140
14795;14795;2;2072;-185;-63;140
14800;14800;1;2072;-185;-63;140
14805;14805;1;2072;-185;-63;140
14810;14810;1;2072;-185;-63;140
14815;14815;2;2075;-110;-67;140
14820;14820;1;2075;-110;-67;140
14825;14825;1;2075;-110;-67;140
14830;14830;1;2075;-110;-67;140
14835;14835;1;2080;15;-67;140
14840;14840;1;2080;15;-67;140
14845;14845;1;2080;15;-67;140
14850;14850;1;2080;15;-67;140
14855;14855;2;2080;15;-64;140
14860;14860;2;2080;15;-64;140
14865;14865;2;2080;15;-64;140
14870;14870;1;2080;15;-64;140
14875;14875;1;2083;90;-60;140
14880;14880;3;2083;90;-60;140
14885;14885;1;2083;90;-60;140
14890;14890;1;2083;90;-60;140
14895;14895;1;2083;90;-59;140
14900;14900;1;2083;90;-59;140
14905;14905;1;2083;90;-59;140
14910;14910;1;2083;90;-59;140
14915;14915;1;2078;-35;-60;140
14920;14920;1;2078;-35;-60;140
14925;14925;1;2078;-35;-60;140
14930;14930;1;2078;-35;-60;140
14935;14935;1;2072;-185;-60;140
14940;14940;1;2072;-185;-60;140
14945;14945;3;2072;-185;-60;140
14950;14950;1;2072;-185;-60;140
14955;14955;2;2083;90;-56;140
14960;14960;1;2083;90;-56;140
14965;14965;1;2083;90;-56;140
14970;14970;1;2083;90;-56;140
14975;14975;2;2080;15;-54;140
14980;14980;1;2080;15;-54;140
14985;14985;1;2080;15;-54;140
14990;14990;1;2080;15;-54;140
14995;14995;1;2078;-35;-56;140
